host,problem,function,dimension,instance,seed,action,baseline_best,first_f,best_h1,best_h10,best_h50,best_h400
de,bbob_f001_i77_d20,1,20,77,0,pass,460.5405543545771,573.895181729612,460.5405543545771,460.5405543545771,460.5405543545771,440.9194522142986
de,bbob_f001_i77_d20,1,20,77,0,contract,460.5405543545771,444.55242454863276,444.55242454863276,444.55242454863276,444.55242454863276,440.9194522142986
de,bbob_f001_i77_d20,1,20,77,0,reflect,460.5405543545771,773.892586242024,460.5405543545771,460.5405543545771,460.5405543545771,440.9194522142986
pso,bbob_f001_i77_d20,1,20,77,0,pass,398.7543080898371,484.77687870989394,398.7543080898371,398.7543080898371,398.7543080898371,371.6944779421182
pso,bbob_f001_i77_d20,1,20,77,0,contract,398.7543080898371,426.78119683517593,398.7543080898371,398.7543080898371,398.7543080898371,371.6944779421182
pso,bbob_f001_i77_d20,1,20,77,0,reflect,398.7543080898371,509.3168844516556,398.7543080898371,398.7543080898371,398.7543080898371,371.6944779421182
cma,bbob_f001_i77_d20,1,20,77,0,pass,358.12091299876835,361.29947460611425,358.12091299876835,358.12091299876835,356.97387580508234,356.2025590990226
cma,bbob_f001_i77_d20,1,20,77,0,contract,358.12091299876835,358.83017419951386,358.12091299876835,358.12091299876835,357.80734905355615,356.2230364959606
cma,bbob_f001_i77_d20,1,20,77,0,reflect,358.12091299876835,361.2465628410341,358.12091299876835,358.12091299876835,358.12091299876835,356.20890782170414
de,bbob_f001_i77_d20,1,20,77,1,pass,480.1342101414197,690.4582040760054,480.1342101414197,480.1342101414197,480.1342101414197,477.4718787681078
de,bbob_f001_i77_d20,1,20,77,1,contract,480.1342101414197,478.6316657073958,478.6316657073958,478.6316657073958,478.6316657073958,477.4718787681078
de,bbob_f001_i77_d20,1,20,77,1,reflect,480.1342101414197,641.5672368165303,480.1342101414197,480.1342101414197,480.1342101414197,477.4718787681078
pso,bbob_f001_i77_d20,1,20,77,1,pass,396.6265317751131,468.1897550776022,396.6265317751131,396.6265317751131,389.71052005301647,370.1211820964941
pso,bbob_f001_i77_d20,1,20,77,1,contract,396.6265317751131,416.99067189026863,396.6265317751131,396.6265317751131,389.71052005301647,370.1211820964941
pso,bbob_f001_i77_d20,1,20,77,1,reflect,396.6265317751131,545.5741174841123,396.6265317751131,396.6265317751131,389.71052005301647,370.1211820964941
cma,bbob_f001_i77_d20,1,20,77,1,pass,360.577014161979,362.3890699157064,360.577014161979,358.9546180853147,357.4755233417912,356.32740418507393
cma,bbob_f001_i77_d20,1,20,77,1,contract,360.577014161979,360.2537780351809,360.2537780351809,360.2537780351809,358.9646099338472,356.2836393772817
cma,bbob_f001_i77_d20,1,20,77,1,reflect,360.577014161979,369.04826584530593,360.577014161979,360.577014161979,359.26452000608765,356.47233630497965
de,bbob_f001_i78_d20,1,20,78,0,pass,-395.0192060369075,-302.3138663208547,-395.0192060369075,-395.0192060369075,-395.0192060369075,-407.6501883317187
de,bbob_f001_i78_d20,1,20,78,0,contract,-395.0192060369075,-396.3727579851893,-396.3727579851893,-396.3727579851893,-396.3727579851893,-396.3727579851893
de,bbob_f001_i78_d20,1,20,78,0,reflect,-395.0192060369075,-237.89571208870535,-395.0192060369075,-395.0192060369075,-395.0192060369075,-407.6501883317187
pso,bbob_f001_i78_d20,1,20,78,0,pass,-459.4694494158338,-409.5334714688236,-459.4694494158338,-459.4694494158338,-460.1089422252829,-463.4234152445092
pso,bbob_f001_i78_d20,1,20,78,0,contract,-459.4694494158338,-445.10202651485054,-459.4694494158338,-459.4694494158338,-460.1089422252829,-463.4234152445092
pso,bbob_f001_i78_d20,1,20,78,0,reflect,-459.4694494158338,-331.0251737359865,-459.4694494158338,-459.4694494158338,-460.1089422252829,-463.4234152445092
cma,bbob_f001_i78_d20,1,20,78,0,pass,-473.3475424803472,-469.6361879781927,-473.3475424803472,-473.3475424803472,-473.96509321638734,-475.5938329240641
cma,bbob_f001_i78_d20,1,20,78,0,contract,-473.3475424803472,-473.095829885097,-473.3475424803472,-473.3475424803472,-473.6486681740485,-475.53866290553094
cma,bbob_f001_i78_d20,1,20,78,0,reflect,-473.3475424803472,-467.81564434675647,-473.3475424803472,-473.3475424803472,-473.52506829978853,-475.591788756868
de,bbob_f001_i78_d20,1,20,78,1,pass,-342.2334320361336,-246.20601244417665,-342.2334320361336,-371.6087823371172,-371.6087823371172,-389.13832935702357
de,bbob_f001_i78_d20,1,20,78,1,contract,-342.2334320361336,-398.30365647922144,-398.30365647922144,-398.30365647922144,-398.30365647922144,-398.30365647922144
de,bbob_f001_i78_d20,1,20,78,1,reflect,-342.2334320361336,-107.41166024662755,-342.2334320361336,-371.6087823371172,-371.6087823371172,-389.13832935702357
pso,bbob_f001_i78_d20,1,20,78,1,pass,-439.91865244116264,-366.21709028349113,-439.91865244116264,-439.91865244116264,-439.91865244116264,-456.9868580856673
pso,bbob_f001_i78_d20,1,20,78,1,contract,-439.91865244116264,-417.2037240550246,-439.91865244116264,-439.91865244116264,-439.91865244116264,-456.9868580856673
pso,bbob_f001_i78_d20,1,20,78,1,reflect,-439.91865244116264,-329.4233497312159,-439.91865244116264,-439.91865244116264,-439.91865244116264,-456.9868580856673
cma,bbob_f001_i78_d20,1,20,78,1,pass,-470.23004086578766,-468.0226401987958,-470.23004086578766,-470.23004086578766,-472.79705551834866,-475.58032913901854
cma,bbob_f001_i78_d20,1,20,78,1,contract,-470.23004086578766,-470.31854912716136,-470.31854912716136,-470.31854912716136,-473.16745967503164,-475.5113183889212
cma,bbob_f001_i78_d20,1,20,78,1,reflect,-470.23004086578766,-464.9779774285053,-470.23004086578766,-470.23004086578766,-472.86917757289126,-475.54154601722456
de,bbob_f002_i77_d20,2,20,77,0,pass,2747765.685513772,17790891.268162135,2747765.685513772,2747765.685513772,2747765.685513772,607523.228934381
de,bbob_f002_i77_d20,2,20,77,0,contract,2747765.685513772,5245565.48891241,2747765.685513772,2747765.685513772,2747765.685513772,607523.228934381
de,bbob_f002_i77_d20,2,20,77,0,reflect,2747765.685513772,14432403.728549356,2747765.685513772,2747765.685513772,2747765.685513772,607523.228934381
pso,bbob_f002_i77_d20,2,20,77,0,pass,623266.8919872752,1000644.6037514714,623266.8919872752,623266.8919872752,497139.9147741958,279356.81442778034
pso,bbob_f002_i77_d20,2,20,77,0,contract,623266.8919872752,691187.14776094,623266.8919872752,623266.8919872752,497139.9147741958,279356.81442778034
pso,bbob_f002_i77_d20,2,20,77,0,reflect,623266.8919872752,4357308.413786496,623266.8919872752,623266.8919872752,497139.9147741958,279356.81442778034
cma,bbob_f002_i77_d20,2,20,77,0,pass,272219.84875579097,3540730.348072416,272219.84875579097,272219.84875579097,272219.84875579097,48419.72397364296
cma,bbob_f002_i77_d20,2,20,77,0,contract,272219.84875579097,1414166.9314271687,272219.84875579097,272219.84875579097,248710.93601595814,53993.010779859986
cma,bbob_f002_i77_d20,2,20,77,0,reflect,272219.84875579097,2099113.781161141,272219.84875579097,272219.84875579097,265862.27817359305,55393.595534887376
de,bbob_f002_i77_d20,2,20,77,1,pass,1824552.286629497,12366811.294547493,1824552.286629497,1824552.286629497,1824552.286629497,1524352.1402839937
de,bbob_f002_i77_d20,2,20,77,1,contract,1824552.286629497,4133576.4311155085,1824552.286629497,1824552.286629497,1824552.286629497,1524352.1402839937
de,bbob_f002_i77_d20,2,20,77,1,reflect,1824552.286629497,28132382.571550198,1824552.286629497,1824552.286629497,1824552.286629497,1505421.2649644734
pso,bbob_f002_i77_d20,2,20,77,1,pass,471492.27495817136,8856114.20132437,471492.27495817136,460389.582218646,460389.582218646,137778.84770093547
pso,bbob_f002_i77_d20,2,20,77,1,contract,471492.27495817136,2557467.995246653,471492.27495817136,460389.582218646,460389.582218646,137778.84770093547
pso,bbob_f002_i77_d20,2,20,77,1,reflect,471492.27495817136,12280454.381128592,471492.27495817136,460389.582218646,460389.582218646,137778.84770093547
cma,bbob_f002_i77_d20,2,20,77,1,pass,252119.20266078427,2663696.8317546747,252119.20266078427,252119.20266078427,252119.20266078427,47235.219644590536
cma,bbob_f002_i77_d20,2,20,77,1,contract,252119.20266078427,1433795.9297566838,252119.20266078427,252119.20266078427,252119.20266078427,99222.62907834475
cma,bbob_f002_i77_d20,2,20,77,1,reflect,252119.20266078427,1458574.3996775956,252119.20266078427,252119.20266078427,209409.86429376662,85449.58519245626
de,bbob_f002_i78_d20,2,20,78,0,pass,1964114.1289100046,14405463.32624835,1964114.1289100046,1964114.1289100046,1620576.4799009347,1110392.2315875723
de,bbob_f002_i78_d20,2,20,78,0,contract,1964114.1289100046,3731465.0635557873,1964114.1289100046,1964114.1289100046,1964114.1289100046,1110392.2315875723
de,bbob_f002_i78_d20,2,20,78,0,reflect,1964114.1289100046,18575257.91775539,1964114.1289100046,1964114.1289100046,1620576.4799009347,1110392.2315875723
pso,bbob_f002_i78_d20,2,20,78,0,pass,212144.15679072964,845074.5210240937,212144.15679072964,212144.15679072964,212144.15679072964,162561.0580948774
pso,bbob_f002_i78_d20,2,20,78,0,contract,212144.15679072964,352792.31553589203,212144.15679072964,212144.15679072964,212144.15679072964,162561.0580948774
pso,bbob_f002_i78_d20,2,20,78,0,reflect,212144.15679072964,3018137.0889883675,212144.15679072964,212144.15679072964,212144.15679072964,162561.0580948774
