problem,function,instance,dimension,seed,mode,popsize,baseline_best,pass_proposal_f,first_f,best_h1,best_h10,best_h50,best_h200,mean_shift_generation,sigma_ratio_generation,trace_ratio_generation,condition_ratio_generation,sigma_ratio_final,trace_ratio_final
bbob_f001_i79_d10,1,79,10,0,pass,10,-999.5292695642837,-996.0071402520621,-996.0071402520621,-999.5292695642837,-999.5292695642837,-999.7192297522834,-999.9391392143727,1.0002414425814605,0.961594619841053,0.989199976254854,1.0522358381431522,0.2624388711912558,0.7084055952088016
bbob_f001_i79_d10,1,79,10,0,direct,10,-999.5292695642837,,-998.2083946805403,-999.5292695642837,-999.5292695642837,-999.5292695642837,-999.8668441067911,1.0472356520731685,0.9772410612560748,0.9896580941465146,1.0765201415340007,0.30003171598011735,0.7250363000065959
bbob_f001_i79_d10,1,79,10,0,inject,10,-999.5292695642837,,-998.2083946805403,-999.5292695642837,-999.5292695642837,-999.5292695642837,-999.9234437600654,0.722654165239729,0.9294905258788848,0.9840422742191435,1.0515375693731615,0.28618354466164087,0.7182497222434311
bbob_f001_i79_d10,1,79,10,1,pass,10,-998.7033027793907,-997.5401346173732,-997.5401346173732,-998.7033027793907,-998.7033027793907,-998.7033027793907,-999.9091146212493,0.7155767981148046,0.8991264573756785,0.9758589938763028,1.0274700749464794,0.2606487879711522,0.7165625832342588
bbob_f001_i79_d10,1,79,10,1,direct,10,-998.7033027793907,,-997.9882506447888,-998.7033027793907,-998.7033027793907,-999.3314640056269,-999.9220740962269,0.5556707436746656,0.876413330871764,0.9727032640519085,1.0402665986785822,0.21542273840360257,0.7039207935596455
bbob_f001_i79_d10,1,79,10,1,inject,10,-998.7033027793907,,-997.9882506447888,-998.7033027793907,-998.7033027793907,-999.2824229577735,-999.9208766531915,0.6638513754231533,0.8915874514579951,0.9719872118381581,1.0473209221241437,0.24040796213402663,0.7213721727124437
bbob_f001_i79_d10,1,79,10,2,pass,10,-998.3219683189322,-997.4423862260596,-997.4423862260596,-998.3219683189322,-998.5358915890962,-998.912833762878,-999.8873026695657,0.8200068491459044,0.894511440905547,0.9785041872120257,1.0089543772681266,0.2529371971003836,0.7067262241544632
bbob_f001_i79_d10,1,79,10,2,direct,10,-998.3219683189322,,-998.6010107345612,-998.6010107345612,-998.6010107345612,-999.415047019693,-999.9038075920791,0.5903287407970346,0.8768492610859355,0.9733668527950143,1.0066378156244529,0.19521605092308245,0.6895803468109609
bbob_f001_i79_d10,1,79,10,2,inject,10,-998.3219683189322,,-998.6010107345612,-998.6010107345612,-998.6010107345612,-999.7290600649518,-999.878604332582,0.5698456433059107,0.874136878765802,0.9725631566240028,1.006967818260856,0.25831657952580395,0.7160899491365995
bbob_f001_i79_d10,1,79,10,3,pass,10,-996.2881598755315,-989.3783573916788,-989.3783573916788,-996.2881598755315,-998.7859059347248,-999.200961581021,-999.8073913304914,1.0104769250247407,0.8821439128775157,0.9780880263360058,0.9998219393436748,0.2995952319755023,0.7196931079463258
bbob_f001_i79_d10,1,79,10,3,direct,10,-996.2881598755315,,-992.6325358382168,-996.2881598755315,-998.7859059347248,-998.7859059347248,-999.870615777322,1.0104769250247407,0.8821439128775157,0.9782335597210998,0.9947121522793169,0.24569303798040257,0.7061996842561002
bbob_f001_i79_d10,1,79,10,3,inject,10,-996.2881598755315,,-992.6325358382168,-996.2881598755315,-998.7859059347248,-998.7859059347248,-999.7582222844947,1.0454904251965673,0.9043834529276575,0.980338780688901,0.9884880670953707,0.29202656395273174,0.7563047577376302
bbob_f001_i80_d10,1,80,10,0,pass,10,-39.474934344953844,-39.0200591579705,-39.0200591579705,-39.474934344953844,-39.474934344953844,-40.66298362112017,-41.512034620936234,0.8450803338123413,0.9116051284418991,0.9836564702107975,1.0819936364709324,0.2117183878699742,0.703099850085093
bbob_f001_i80_d10,1,80,10,0,direct,10,-39.474934344953844,,-40.13510110913496,-40.13510110913496,-40.13510110913496,-41.09980782480874,-41.523935851718086,0.5300033571119691,0.8771547038113161,0.976221025977604,1.0717251908940395,0.19038114281722113,0.6853265827868986
bbob_f001_i80_d10,1,80,10,0,inject,10,-39.474934344953844,,-40.13510110913496,-40.13510110913496,-40.13510110913496,-40.6994660254159,-41.49637814083416,0.6969760951704956,0.8809522760473153,0.9758226805737503,1.082205781563721,0.24489372085660782,0.700491978053116
bbob_f001_i80_d10,1,80,10,1,pass,10,-40.77034100538862,-40.61568291294549,-40.61568291294549,-40.77034100538862,-40.77034100538862,-41.11742600264968,-41.46991889167215,0.5272205882248072,0.9462811719012402,0.979048378239713,1.0320836865978416,0.29108505945446844,0.7314212140689365
bbob_f001_i80_d10,1,80,10,1,direct,10,-40.77034100538862,,-40.969856810589356,-40.969856810589356,-40.969856810589356,-40.969856810589356,-41.52982871639429,0.3840044554452994,0.910789371211955,0.9736017644933392,1.031071943361171,0.2945029543903397,0.7359549478876611
bbob_f001_i80_d10,1,80,10,1,inject,10,-40.77034100538862,,-40.969856810589356,-40.969856810589356,-40.969856810589356,-40.969856810589356,-41.438715897835,0.5091755977418829,0.9492294680077227,0.9758823979510561,1.0364004425134636,0.31157778739673697,0.7413659169060367
bbob_f001_i80_d10,1,80,10,2,pass,10,-39.94557793567683,-30.553033522087638,-30.553033522087638,-39.94557793567683,-39.94557793567683,-40.58652879949622,-41.504263636016184,0.8991650952096142,0.8895242246419,0.9765865546613224,0.955449360789604,0.22599223255028683,0.7037143391866186
bbob_f001_i80_d10,1,80,10,2,direct,10,-39.94557793567683,,-34.11582925678678,-39.94557793567683,-39.94557793567683,-40.89792427990034,-41.51118517349927,0.8991650952096142,0.8895242246419,0.9770340948827553,0.9619441164460895,0.206348568123893,0.7082752364204297
bbob_f001_i80_d10,1,80,10,2,inject,10,-39.94557793567683,,-34.11582925678678,-39.94557793567683,-39.94557793567683,-41.14034670134878,-41.50943899117167,0.8991650952096142,0.8895242246419,0.9767497728741783,0.9592110117696111,0.19115178938397484,0.6785610489898913
bbob_f001_i80_d10,1,80,10,3,pass,10,-39.776481474086346,-37.447944044342215,-37.447944044342215,-39.776481474086346,-39.84638475401315,-40.24923374206276,-41.46819636444882,0.7275012246278098,0.9054491494822384,0.9767292351607211,1.005694960717803,0.23083203059025031,0.7159446314684744
bbob_f001_i80_d10,1,80,10,3,direct,10,-39.776481474086346,,-40.05054726773268,-40.05054726773268,-40.05054726773268,-40.62817804598609,-41.52853347027269,0.47340954726537926,0.9066167068483586,0.9746075914881482,1.0288910950749666,0.1871386112222371,0.6840445276775832
bbob_f001_i80_d10,1,80,10,3,inject,10,-39.776481474086346,,-40.05054726773268,-40.05054726773268,-40.05054726773268,-40.850490556288094,-41.490084904372615,0.5169356772674035,0.8860781431364102,0.9727294208873903,1.0041396213152534,0.21145221832360644,0.7133468813235849
bbob_f002_i79_d10,2,79,10,0,pass,10,64702.78884617017,106137.64813495809,106137.64813495809,64702.78884617017,52535.64770467272,52535.64770467272,24703.15265712875,1.5187395519688052,0.8995022350850632,0.9865506455897808,1.0461604644954414,0.4314309291103551,0.9171049865971518
bbob_f002_i79_d10,2,79,10,0,direct,10,64702.78884617017,,46596.93648452364,46596.93648452364,46596.93648452364,31954.267374296865,13974.00079083152,0.9219431890836526,0.8667727741930477,0.9779968098257793,1.0475491157397516,0.6152104956541566,0.9890079413998251
bbob_f002_i79_d10,2,79,10,0,inject,10,64702.78884617017,,46596.93648452364,46596.93648452364,46596.93648452364,46596.93648452364,18863.560970804436,0.8152363078454234,0.8560639474880166,0.9773716470219765,1.0483639496976898,0.5099205942162385,0.926316987208729
bbob_f002_i79_d10,2,79,10,1,pass,10,40497.992572023526,951030.2296877392,951030.2296877392,40497.992572023526,40497.992572023526,40497.992572023526,9771.351003269587,0.9123723057495908,0.9057858653181676,0.9860390485819721,1.102708630493344,0.4037150822348308,0.985497050515571
bbob_f002_i79_d10,2,79,10,1,direct,10,40497.992572023526,,580270.136076378,40497.992572023526,40497.992572023526,32441.09218454456,4880.295879628028,0.9123723057495908,0.9057858653181676,0.9836230218208877,1.0861528206049267,0.45708872217523555,1.013994354283466
bbob_f002_i79_d10,2,79,10,1,inject,10,40497.992572023526,,580270.136076378,40497.992572023526,40497.992572023526,18502.47510499372,6713.606266384623,1.1504924728307844,0.916876732845263,0.9901208818215549,1.098949931103982,0.4701521334524646,0.939674774727643
bbob_f002_i79_d10,2,79,10,2,pass,10,103237.03638403457,193229.80950141387,193229.80950141387,103237.03638403457,103237.03638403457,52341.15525924905,18052.89306600051,1.111490386731182,0.9216696641644633,0.9912741286838093,1.0235910744140369,0.47704822593437274,0.9683974057577525
bbob_f002_i79_d10,2,79,10,2,direct,10,103237.03638403457,,125546.5603787547,103237.03638403457,103237.03638403457,49433.494837496204,21979.678927130848,0.7265006492777402,0.9008216105341467,0.9850798451126105,1.034596541777382,0.445041677496995,0.933925895609594
bbob_f002_i79_d10,2,79,10,2,inject,10,103237.03638403457,,125546.5603787547,103237.03638403457,103237.03638403457,45549.16608491222,17437.87794397884,1.035512764997313,0.8908737354139986,0.9861082837363438,1.0376230821268682,0.29810607281655105,0.8690180176649213
bbob_f002_i79_d10,2,79,10,3,pass,10,58674.04248745046,53135.47166286415,53135.47166286415,53135.47166286415,53135.47166286415,53135.47166286415,22727.533856463477,1.3731914442978226,0.9824577977400724,0.9995385745025935,1.0628462577734328,0.34742003668291693,0.8874878817006301
bbob_f002_i79_d10,2,79,10,3,direct,10,58674.04248745046,,51200.08127954974,51200.08127954974,51200.08127954974,34939.72426757035,22360.90651626899,1.0581743708817735,0.9595842311710592,0.9899234342841706,1.064319928022451,0.47468671290311276,0.9555927543407251
bbob_f002_i79_d10,2,79,10,3,inject,10,58674.04248745046,,51200.08127954974,51200.08127954974,51200.08127954974,29020.352891771516,14136.520958897601,1.5572105866464254,0.9954212500236721,0.9972943411701971,1.0624211775961534,0.4431063584320919,0.9390276017804853
bbob_f002_i80_d10,2,80,10,0,pass,10,36240.28602471514,29060.221504579324,29060.221504579324,29060.221504579324,29060.221504579324,11901.984174162844,8929.085914408639,1.219607133938612,0.9598035901216297,0.9912391599485934,1.0631380592685744,0.34486968510585136,0.8870301390494038
bbob_f002_i80_d10,2,80,10,0,direct,10,36240.28602471514,,25209.421621309037,25209.421621309037,25209.421621309037,25209.421621309037,6209.197382386164,0.9644755247273349,0.9597676864226743,0.9887195501722873,1.073472247861288,0.4666826175931289,0.8911618812704623
bbob_f002_i80_d10,2,80,10,0,inject,10,36240.28602471514,,25209.421621309037,25209.421621309037,25209.421621309037,11448.240268250047,4821.615572391027,0.9296571060669083,0.9260714874689293,0.9836375595480569,1.0676500298496057,0.675692047644002,0.9817084345110049
bbob_f002_i80_d10,2,80,10,1,pass,10,36381.40342608469,470501.79204382835,470501.79204382835,36381.40342608469,36381.40342608469,19967.30515998857,7893.71383309989,1.7754316407033157,0.9487711443045501,0.989940915408944,1.0330054193439677,0.3993248065930752,0.9321234033601714
bbob_f002_i80_d10,2,80,10,1,direct,10,36381.40342608469,,253057.351537087,36381.40342608469,36381.40342608469,36381.40342608469,12602.532618415806,1.7232868152688656,0.9466227526876527,0.9895813127166418,1.0358107635596028,0.485115778586594,0.993035858937769
bbob_f002_i80_d10,2,80,10,1,inject,10,36381.40342608469,,253057.351537087,36381.40342608469,36381.40342608469,36381.40342608469,5271.322278225169,1.734605574610995,0.9486607149223575,0.9916012626418086,1.0722853088109001,0.3945208471969876,0.8651588491388751
bbob_f002_i80_d10,2,80,10,2,pass,10,32252.336311318424,195582.6778897704,195582.6778897704,32252.336311318424,32252.336311318424,10497.59497814322,4277.7442048778075,0.9760341550096608,0.9114752430618643,0.9843593097357952,1.003877716395142,0.3700770991178643,0.9534659564437435
