problem,function,instance,dimension,seed,mode,popsize,baseline_best,pass_proposal_f,first_f,best_h1,best_h10,best_h50,best_h100,mean_shift_generation,sigma_ratio_generation,trace_ratio_generation,condition_ratio_generation,sigma_ratio_final,trace_ratio_final
bbob_f001_i79_d05,1,79,5,0,pass,8,-999.5623677042014,-995.7536931552661,-995.7536931552661,-999.5623677042014,-999.5623677042014,-999.7191858602076,-999.9774897185658,1.0970589681290108,1.0941063620043603,1.0016954215039708,1.0362952083906534,0.26389309700055197,0.44769447038374477
bbob_f001_i79_d05,1,79,5,0,direct,8,-999.5623677042014,,-998.4478084003736,-999.5623677042014,-999.5623677042014,-999.9150956568656,-999.9850999117253,0.8610473284273737,1.0475661349261944,0.9796464528036781,0.9441172538492538,0.25489321703136075,0.4635978577513579
bbob_f001_i79_d05,1,79,5,0,inject,8,-999.5623677042014,,-998.4478084003736,-999.5623677042014,-999.5623677042014,-999.7559685755544,-999.9683377467906,0.512638908992256,0.9557435737344707,0.9491665710657279,0.9474558600201738,0.33744690037043235,0.5340779973859047
bbob_f001_i79_d05,1,79,5,1,pass,8,-998.4604884570588,-998.8353077076922,-998.8353077076922,-998.8353077076922,-999.0534280100462,-999.7643826620103,-999.9654122006937,0.64637103446026,0.8303565239876864,0.9507873438577005,1.2341422267154059,0.3516336980296101,0.46331296739704175
bbob_f001_i79_d05,1,79,5,1,direct,8,-998.4604884570588,,-998.6288236155397,-998.6288236155397,-999.0534280100462,-999.4870674989172,-999.9151107349705,0.8304327304557795,0.8339136440123147,0.9636590983085566,1.2769739941731002,0.5523390183588451,0.5367228795882162
bbob_f001_i79_d05,1,79,5,1,inject,8,-998.4604884570588,,-998.6288236155397,-998.6288236155397,-999.0534280100462,-999.704796454249,-999.9895841121462,0.6359697884020653,0.8317798346982253,0.9503256561326774,1.2209310883866176,0.3182757075213451,0.4791576783851255
bbob_f001_i79_d05,1,79,5,2,pass,8,-999.1830607033048,-998.2235877811039,-998.2235877811039,-999.1830607033048,-999.4886313158171,-999.7864640127547,-999.9849025885933,0.7476955216200903,0.8766028243188584,0.9444328899804463,1.057391646276993,0.44809365319399974,0.531079316898632
bbob_f001_i79_d05,1,79,5,2,direct,8,-999.1830607033048,,-999.0506866209947,-999.1830607033048,-999.4886313158171,-999.8450767399418,-999.940062365946,0.7313818386034153,0.8717739082577974,0.9416005368304721,1.0519483455727816,0.3970024651735954,0.5288339138642716
bbob_f001_i79_d05,1,79,5,2,inject,8,-999.1830607033048,,-999.0506866209947,-999.1830607033048,-999.4886313158171,-999.9744566854379,-999.9744566854379,0.7313818386034153,0.8717739082577974,0.9471364991048234,1.1055645819997875,0.3005714864459079,0.5213720618875899
bbob_f001_i79_d05,1,79,5,3,pass,8,-999.6544546332209,-998.8356658699795,-998.8356658699795,-999.6544546332209,-999.6544546332209,-999.9738003635691,-999.9919386209193,0.2646449662749605,0.8849116056068553,0.9342990295804204,1.0106203945579952,0.2085268368100882,0.4634900953996439
