host,problem,function,dimension,instance,seed,action,baseline_best,first_f,best_h1,best_h10,best_h50,best_h100
cma,bbob_f005_i75_d05,5,5,75,1,contract_clip,-94.61203354282016,-84.5570981976131,-94.61203354282016,-94.61203354282016,-94.61203354282016,-94.61203354282016
cma,bbob_f005_i76_d05,5,5,76,0,pass,107.54946237689765,108.22065503547476,107.54946237689765,107.54946237689765,104.87899364210051,104.87899364210051
cma,bbob_f005_i76_d05,5,5,76,0,contract,107.54946237689765,109.9519737641844,107.54946237689765,107.54946237689765,106.4884909610528,106.4884909610528
cma,bbob_f005_i76_d05,5,5,76,0,contract_clip,107.54946237689765,109.9519737641844,107.54946237689765,107.54946237689765,106.4884909610528,106.4884909610528
cma,bbob_f005_i76_d05,5,5,76,1,pass,115.77773009129223,118.26210752166216,115.77773009129223,113.72449717407102,109.16106417604928,109.16106417604928
cma,bbob_f005_i76_d05,5,5,76,1,contract,115.77773009129223,117.7598376257721,115.77773009129223,113.72449717407102,109.18272702692649,109.18272702692649
cma,bbob_f005_i76_d05,5,5,76,1,contract_clip,115.77773009129223,117.7598376257721,115.77773009129223,113.72449717407102,109.18272702692649,109.18272702692649
cma,bbob_f006_i75_d05,6,5,75,0,pass,12.220724855630124,62.76780017582814,12.220724855630124,12.220724855630124,-24.099104323903887,-83.5170551260633
cma,bbob_f006_i75_d05,6,5,75,0,contract,12.220724855630124,31.83775969829358,12.220724855630124,-6.649367048874595,-74.42299357726097,-90.00497204856606
cma,bbob_f006_i75_d05,6,5,75,0,contract_clip,12.220724855630124,31.83775969829358,12.220724855630124,-6.649367048874595,-74.42299357726097,-90.00497204856606
cma,bbob_f006_i75_d05,6,5,75,1,pass,-4.073520559423784,-34.63331108411097,-34.63331108411097,-58.2513122771114,-61.13253195112541,-64.59909723564974
cma,bbob_f006_i75_d05,6,5,75,1,contract,-4.073520559423784,-27.022611049543585,-27.022611049543585,-61.65926368807953,-90.99888660398261,-99.94988705964533
cma,bbob_f006_i75_d05,6,5,75,1,contract_clip,-4.073520559423784,-27.725052062178392,-27.725052062178392,-61.71128371302765,-91.00799765429949,-100.01763269925559
cma,bbob_f006_i76_d05,6,5,76,0,pass,146.7737775612911,184.97452073915088,146.7737775612911,145.1178221123896,110.66601294307426,101.74155506175333
cma,bbob_f006_i76_d05,6,5,76,0,contract,146.7737775612911,177.61626312435286,146.7737775612911,145.2540541493364,111.86006312204678,100.99091412415392
cma,bbob_f006_i76_d05,6,5,76,0,contract_clip,146.7737775612911,177.61869540623792,146.7737775612911,145.25414573627316,111.86014555328546,100.99093318468239
cma,bbob_f006_i76_d05,6,5,76,1,pass,134.18625616317104,1011.2632127892424,134.18625616317104,134.18625616317104,134.18625616317104,121.9992546910984
cma,bbob_f006_i76_d05,6,5,76,1,contract,134.18625616317104,346.22696996751256,134.18625616317104,134.18625616317104,127.0964701759754,107.08851875327944
cma,bbob_f006_i76_d05,6,5,76,1,contract_clip,134.18625616317104,346.22696996751256,134.18625616317104,134.18625616317104,127.0964701759754,107.08851875327944
cma,bbob_f007_i75_d05,7,5,75,0,pass,-362.6626360038886,-339.5802528267761,-362.6626360038886,-362.6626360038886,-367.4877212944967,-367.7822668668564
cma,bbob_f007_i75_d05,7,5,75,0,contract,-362.6626360038886,-351.5274629453853,-362.6626360038886,-362.6626360038886,-366.0973362947629,-367.3674677753605
cma,bbob_f007_i75_d05,7,5,75,0,contract_clip,-362.6626360038886,-351.25144416631053,-362.6626360038886,-362.6626360038886,-366.87817173828665,-367.69747385699145
cma,bbob_f007_i75_d05,7,5,75,1,pass,-367.00842409781154,-355.2514405840147,-367.00842409781154,-367.00842409781154,-367.00842409781154,-367.5846200537799
cma,bbob_f007_i75_d05,7,5,75,1,contract,-367.00842409781154,-361.2153917174012,-367.00842409781154,-367.00842409781154,-367.00842409781154,-367.00842409781154
cma,bbob_f007_i75_d05,7,5,75,1,contract_clip,-367.00842409781154,-361.2153917174012,-367.00842409781154,-367.00842409781154,-367.00842409781154,-367.400403530051
cma,bbob_f007_i76_d05,7,5,76,0,pass,52.58092138477555,80.23214460943436,52.58092138477555,52.58092138477555,50.568280076305975,50.01532849300715
cma,bbob_f007_i76_d05,7,5,76,0,contract,52.58092138477555,65.01610724259052,52.58092138477555,52.58092138477555,50.45921421179375,50.04183936947551
cma,bbob_f007_i76_d05,7,5,76,0,contract_clip,52.58092138477555,68.279052033289,52.58092138477555,52.58092138477555,49.96474030450428,49.96474030450428
cma,bbob_f007_i76_d05,7,5,76,1,pass,57.17364989467363,73.03339418732308,57.17364989467363,57.17364989467363,51.07665121077571,49.91464210496359
cma,bbob_f007_i76_d05,7,5,76,1,contract,57.17364989467363,67.75091576505748,57.17364989467363,57.17364989467363,51.02566027491077,50.06173802025519
cma,bbob_f007_i76_d05,7,5,76,1,contract_clip,57.17364989467363,67.75091576505748,57.17364989467363,57.17364989467363,51.02566027491077,50.06173802025519
cma,bbob_f008_i75_d05,8,5,75,0,pass,199.7486512454719,654.652930663058,199.7486512454719,157.47034722358373,134.77697071462754,109.4662020489018
cma,bbob_f008_i75_d05,8,5,75,0,contract,199.7486512454719,296.41460617647294,199.7486512454719,162.72103115452387,118.13630105838848,75.18639530649777
cma,bbob_f008_i75_d05,8,5,75,0,contract_clip,199.7486512454719,296.41460617647294,199.7486512454719,162.72103115452387,118.13630105838848,75.18639530649777
cma,bbob_f008_i75_d05,8,5,75,1,pass,273.62023197160954,639.5736938638736,273.62023197160954,273.62023197160954,177.5289048028084,84.10860649130959
cma,bbob_f008_i75_d05,8,5,75,1,contract,273.62023197160954,377.7066721204389,273.62023197160954,273.62023197160954,178.432117439945,148.6514738978783
cma,bbob_f008_i75_d05,8,5,75,1,contract_clip,273.62023197160954,411.04524136247227,273.62023197160954,273.62023197160954,122.23772483519969,63.60905087279548
cma,bbob_f008_i76_d05,8,5,76,0,pass,1261.9211030533197,6820.632299941678,1261.9211030533197,1261.9211030533197,1044.1495471753644,1023.8579288509892
cma,bbob_f008_i76_d05,8,5,76,0,contract,1261.9211030533197,2676.4569127352843,1261.9211030533197,1261.9211030533197,1012.6887384834123,1007.7154658332582
