host,problem,function,dimension,instance,seed,action,baseline_best,first_f,best_h1,best_h10,best_h50,best_h200
cma,bbob_f002_i73_d10,2,10,73,1,pass,112805.35871536403,388843.8963104864,112805.35871536403,112805.35871536403,112805.35871536403,20307.81810698928
cma,bbob_f002_i73_d10,2,10,73,1,contract,112805.35871536403,268608.1913301889,112805.35871536403,112805.35871536403,105544.17102304885,2645.3466729164234
cma,bbob_f002_i73_d10,2,10,73,1,reflect,112805.35871536403,2836089.321452501,112805.35871536403,112805.35871536403,65950.5655674394,26284.15376188817
de,bbob_f002_i74_d10,2,10,74,0,pass,447132.95802139625,3762546.402512096,447132.95802139625,330622.9434068643,330622.9434068643,167517.8629670087
de,bbob_f002_i74_d10,2,10,74,0,contract,447132.95802139625,1593543.742195638,447132.95802139625,330622.9434068643,330622.9434068643,190086.8202028478
de,bbob_f002_i74_d10,2,10,74,0,reflect,447132.95802139625,8750096.564471066,447132.95802139625,330622.9434068643,330622.9434068643,167517.8629670087
pso,bbob_f002_i74_d10,2,10,74,0,pass,129223.83988665359,171639.09366115133,129223.83988665359,95969.1311152608,79452.11830598373,26568.76635602787
pso,bbob_f002_i74_d10,2,10,74,0,contract,129223.83988665359,98417.34020995325,98417.34020995325,78871.40503199161,73140.08485224888,27500.93072932786
pso,bbob_f002_i74_d10,2,10,74,0,reflect,129223.83988665359,6258571.181171525,129223.83988665359,95969.1311152608,79452.11830598373,26568.76635602787
cma,bbob_f002_i74_d10,2,10,74,0,pass,77934.81279438967,238786.60096604042,77934.81279438967,77934.81279438967,41897.04920802977,17523.650556014254
cma,bbob_f002_i74_d10,2,10,74,0,contract,77934.81279438967,91695.93546533391,77934.81279438967,77934.81279438967,66872.8992118466,25875.900683938664
cma,bbob_f002_i74_d10,2,10,74,0,reflect,77934.81279438967,1548985.88962616,77934.81279438967,77934.81279438967,41312.27439325859,7403.1652180523715
de,bbob_f002_i74_d10,2,10,74,1,pass,223808.9212549699,6396667.116185472,223808.9212549699,223808.9212549699,223808.9212549699,223808.9212549699
de,bbob_f002_i74_d10,2,10,74,1,contract,223808.9212549699,2485126.5658885054,223808.9212549699,223808.9212549699,223808.9212549699,223808.9212549699
de,bbob_f002_i74_d10,2,10,74,1,reflect,223808.9212549699,6365521.986159007,223808.9212549699,223808.9212549699,223808.9212549699,223808.9212549699
pso,bbob_f002_i74_d10,2,10,74,1,pass,189922.14680143053,879996.5812308298,189922.14680143053,127642.3659500024,94331.70095865427,11818.487226889432
pso,bbob_f002_i74_d10,2,10,74,1,contract,189922.14680143053,474799.4234409394,189922.14680143053,127642.3659500024,94331.70095865427,11818.487226889432
pso,bbob_f002_i74_d10,2,10,74,1,reflect,189922.14680143053,5834510.735555479,189922.14680143053,127642.3659500024,94331.70095865427,11818.487226889432
cma,bbob_f002_i74_d10,2,10,74,1,pass,39765.24557290019,1378047.3337164726,39765.24557290019,39765.24557290019,39765.24557290019,18929.423665087375
cma,bbob_f002_i74_d10,2,10,74,1,contract,39765.24557290019,775921.8177456892,39765.24557290019,39765.24557290019,39765.24557290019,24800.58357025318
cma,bbob_f002_i74_d10,2,10,74,1,reflect,39765.24557290019,248011.8155087811,39765.24557290019,39765.24557290019,39765.24557290019,13579.70915947107
de,bbob_f003_i73_d10,3,10,73,0,pass,466.41513746279975,902.9695663429096,466.41513746279975,466.41513746279975,466.41513746279975,454.404056592114
de,bbob_f003_i73_d10,3,10,73,0,contract,466.41513746279975,523.6286494687606,466.41513746279975,466.41513746279975,466.41513746279975,453.2369960749121
de,bbob_f003_i73_d10,3,10,73,0,reflect,466.41513746279975,1132.2888998978801,466.41513746279975,466.41513746279975,466.41513746279975,454.404056592114
pso,bbob_f003_i73_d10,3,10,73,0,pass,441.8531080000729,501.34859193424836,441.8531080000729,441.8531080000729,441.8531080000729,399.195614767455
pso,bbob_f003_i73_d10,3,10,73,0,contract,441.8531080000729,473.72844526960984,441.8531080000729,441.8531080000729,441.8531080000729,399.195614767455
pso,bbob_f003_i73_d10,3,10,73,0,reflect,441.8531080000729,733.3717329917903,441.8531080000729,441.8531080000729,441.8531080000729,399.195614767455
cma,bbob_f003_i73_d10,3,10,73,0,pass,352.0963666921921,452.05163636730333,352.0963666921921,352.0963666921921,352.0963666921921,343.3957700098064
cma,bbob_f003_i73_d10,3,10,73,0,contract,352.0963666921921,423.74229277204523,352.0963666921921,352.0963666921921,352.0963666921921,319.669286533795
cma,bbob_f003_i73_d10,3,10,73,0,reflect,352.0963666921921,496.39257520599597,352.0963666921921,352.0963666921921,352.0963666921921,352.0963666921921
de,bbob_f003_i73_d10,3,10,73,1,pass,492.3076617983888,1086.0986361138148,492.3076617983888,492.3076617983888,473.66298563419616,424.8541398261534
