problem,function,instance,dimension,seed,mode,popsize,baseline_best,pass_proposal_f,first_f,best_h1,best_h10,best_h50,best_h400,mean_shift_generation,sigma_ratio_generation,trace_ratio_generation,condition_ratio_generation,sigma_ratio_final,trace_ratio_final
bbob_f001_i80_d20,1,80,20,0,inject,12,-40.085024664118286,,-39.1206259431842,-40.085024664118286,-40.11913393713241,-40.11913393713241,-41.48961327069038,0.6151484569474501,0.9107430184942719,0.9922409223042366,0.9943581101365758,0.23562758193437044,0.8632624394613388
bbob_f001_i80_d20,1,80,20,1,pass,12,-39.85460643728187,-38.1909521273051,-38.1909521273051,-39.85460643728187,-39.85460643728187,-40.33409347972251,-41.49962945907831,0.7841491021189197,0.9330899576706725,0.993921701209936,0.996600531202587,0.19663309397184622,0.8579960221306548
bbob_f001_i80_d20,1,80,20,1,direct,12,-39.85460643728187,,-39.56055552190734,-39.85460643728187,-39.85460643728187,-39.85460643728187,-41.493365315521,0.5289358280926398,0.9235457776155809,0.9919382416796613,0.994318565977797,0.22777508733644763,0.8617079439363882
bbob_f001_i80_d20,1,80,20,1,inject,12,-39.85460643728187,,-39.56055552190734,-39.85460643728187,-39.85460643728187,-40.1460033164832,-41.47415897654979,0.540466744657274,0.9462968434700896,0.9923518111500339,0.999525972306064,0.20937721580494476,0.8528385315707371
bbob_f001_i80_d20,1,80,20,2,pass,12,-38.65607675548267,-38.10138927167421,-38.10138927167421,-38.65607675548267,-38.65607675548267,-39.21577025886518,-41.48339514517892,1.0193796869464524,0.918130846760968,0.9973724153737368,1.0387168659441828,0.21082779838361343,0.8653648129259579
bbob_f001_i80_d20,1,80,20,2,direct,12,-38.65607675548267,,-39.29598133108261,-39.29598133108261,-39.29598133108261,-39.32143214046997,-41.51179606971105,0.67842269930216,0.9146816613383288,0.993692181446062,1.0238447185151751,0.1732912346616006,0.8565552992000144
bbob_f001_i80_d20,1,80,20,2,inject,12,-38.65607675548267,,-39.29598133108261,-39.29598133108261,-39.29598133108261,-40.85899752495658,-41.51420878256252,1.119834893154895,0.9284094342379194,0.9952334974612972,1.0374605125290042,0.14574046512666244,0.8490571923574359
bbob_f001_i80_d20,1,80,20,3,pass,12,-36.38986374566556,-36.312805541395065,-36.312805541395065,-36.38986374566556,-36.90909394476972,-38.170636529540786,-41.44700631051545,0.846798014487963,0.9553276445571323,0.9951601179632944,0.997854615452089,0.25583494128610057,0.8629930483393674
bbob_f001_i80_d20,1,80,20,3,direct,12,-36.38986374566556,,-37.596124586038286,-37.596124586038286,-37.596124586038286,-38.72576913207013,-41.38235172406448,0.6797884455279637,0.9585911518818838,0.9933560764217566,0.9968142635509579,0.20611190991260833,0.8488664582618679
bbob_f001_i80_d20,1,80,20,3,inject,12,-36.38986374566556,,-37.596124586038286,-37.596124586038286,-37.596124586038286,-38.865477516427916,-41.4573854805909,0.824234438495259,0.9603818720913564,0.9934044656362575,0.9957043861956394,0.19924387905595647,0.8493170772098969
bbob_f002_i79_d20,2,79,20,0,pass,12,66707.29208931097,340453.9711329758,340453.9711329758,66707.29208931097,66707.29208931097,66707.29208931097,53178.00814294811,1.2634586503860612,0.9817407479259472,0.9995023182208068,1.0038934871205405,0.5348413947387973,0.9749908186763676
bbob_f002_i79_d20,2,79,20,0,direct,12,66707.29208931097,,209138.8871487096,66707.29208931097,66707.29208931097,66707.29208931097,61925.10829124701,1.3142115523305213,0.9891992701013892,0.9994385686230918,1.004513440476761,0.49711248754435045,0.9663598398578599
bbob_f002_i79_d20,2,79,20,0,inject,12,66707.29208931097,,209138.8871487096,66707.29208931097,66707.29208931097,66707.29208931097,18031.852336354,1.34107082171077,0.9936493952323762,0.999592498329838,1.0046609418809338,0.4202045554472136,0.952923538697876
bbob_f002_i79_d20,2,79,20,1,pass,12,303103.71784749377,493318.65036583424,493318.65036583424,303103.71784749377,253152.35866964434,227058.4781796562,27962.927290191794,1.7424471455596278,0.9460746302407802,0.9954788162521881,1.0484401523330968,0.29485795761242795,0.9360524348932237
bbob_f002_i79_d20,2,79,20,1,direct,12,303103.71784749377,,363520.0931177334,303103.71784749377,253152.35866964434,214950.07449140193,113202.76810282683,1.7452607602083379,0.9484723244211274,0.9951909067075096,1.0491567001216273,0.5284203978479034,0.9670571648928886
bbob_f002_i79_d20,2,79,20,1,inject,12,303103.71784749377,,363520.0931177334,303103.71784749377,253152.35866964434,227058.4781796562,56928.013455102504,1.7331862818304458,0.9488278981224048,0.9948771431267748,1.0448888929897568,0.3319621875245048,0.9455844611554102
bbob_f002_i79_d20,2,79,20,2,pass,12,85260.12127727263,458358.1046634417,458358.1046634417,85260.12127727263,85260.12127727263,70911.6353472783,31276.313141425784,1.1201413813254537,0.9756313060566045,0.9973684109529843,1.0152607441817996,0.46782955124223635,0.9761755737382208
bbob_f002_i79_d20,2,79,20,2,direct,12,85260.12127727263,,198758.87564263475,85260.12127727263,85260.12127727263,85260.12127727263,13459.938872538978,0.9619052447636744,0.9682248110880677,0.9960630942333553,1.0129894235851296,0.4198014181783179,0.9466977664832907
bbob_f002_i79_d20,2,79,20,2,inject,12,85260.12127727263,,198758.87564263475,85260.12127727263,85260.12127727263,85260.12127727263,28930.400923916688,0.9548115335525691,0.967803864607845,0.9958551108912022,1.0194696391505382,0.3597799082250366,0.9534749234761288
bbob_f002_i79_d20,2,79,20,3,pass,12,148807.02807390675,204300.05972396958,204300.05972396958,148807.02807390675,148807.02807390675,84822.18328000979,29011.227471278078,1.2160874601848854,0.9746382685034315,0.9990811097276413,1.019387522311291,0.4543772032645233,0.9655008022115105
