host,problem,function,dimension,instance,seed,action,baseline_best,first_f,best_h1,best_h10,best_h50,best_h200
cma,bbob_f001_i75_d10,1,10,75,0,pass,-24.853063438755672,-23.86989446385091,-24.853063438755672,-24.853063438755672,-24.862651562834394,-25.189542991125894
cma,bbob_f001_i75_d10,1,10,75,0,contract,-24.853063438755672,-24.729245299826225,-24.853063438755672,-24.853063438755672,-24.853063438755672,-25.234106742036253
cma,bbob_f001_i75_d10,1,10,75,0,contract_clip,-24.853063438755672,-24.729245299826225,-24.853063438755672,-24.853063438755672,-24.853063438755672,-25.234106742036253
cma,bbob_f001_i75_d10,1,10,75,1,pass,-23.606188226932957,-22.76564046067831,-23.606188226932957,-24.02177019832644,-24.541593989422847,-25.23864663625683
cma,bbob_f001_i75_d10,1,10,75,1,contract,-23.606188226932957,-23.172201289632582,-23.606188226932957,-24.02177019832644,-24.727166525748334,-25.26186474392011
cma,bbob_f001_i75_d10,1,10,75,1,contract_clip,-23.606188226932957,-23.172201289632582,-23.606188226932957,-24.02177019832644,-24.727166525748334,-25.26186474392011
cma,bbob_f001_i76_d10,1,10,76,0,pass,23.143429170702078,25.39518972903242,23.143429170702078,23.143429170702078,23.143429170702078,22.317853664953013
cma,bbob_f001_i76_d10,1,10,76,0,contract,23.143429170702078,23.725153911894296,23.143429170702078,23.143429170702078,22.929222222773856,22.328247505904187
cma,bbob_f001_i76_d10,1,10,76,0,contract_clip,23.143429170702078,23.725153911894296,23.143429170702078,23.143429170702078,22.929222222773856,22.328247505904187
cma,bbob_f001_i76_d10,1,10,76,1,pass,23.3986617697783,24.97886081998076,23.3986617697783,23.3986617697783,22.615562515556697,22.355174228609428
cma,bbob_f001_i76_d10,1,10,76,1,contract,23.3986617697783,23.84163547977405,23.3986617697783,23.3986617697783,22.71505719546295,22.31269324315586
cma,bbob_f001_i76_d10,1,10,76,1,contract_clip,23.3986617697783,23.84163547977405,23.3986617697783,23.3986617697783,22.71505719546295,22.31269324315586
cma,bbob_f002_i75_d10,2,10,75,0,pass,79246.6667235034,212537.32884218823,79246.6667235034,79246.6667235034,79246.6667235034,13868.278964712084
cma,bbob_f002_i75_d10,2,10,75,0,contract,79246.6667235034,219898.9416786969,79246.6667235034,79246.6667235034,55679.052194775184,13853.788577477393
cma,bbob_f002_i75_d10,2,10,75,0,contract_clip,79246.6667235034,219898.9416786969,79246.6667235034,79246.6667235034,55679.052194775184,13853.788577477393
cma,bbob_f002_i75_d10,2,10,75,1,pass,27001.30986534779,171443.0961596643,27001.30986534779,27001.30986534779,27001.30986534779,8895.043442514416
cma,bbob_f002_i75_d10,2,10,75,1,contract,27001.30986534779,72865.98725949952,27001.30986534779,27001.30986534779,27001.30986534779,8671.358341457053
cma,bbob_f002_i75_d10,2,10,75,1,contract_clip,27001.30986534779,72865.98725949952,27001.30986534779,27001.30986534779,27001.30986534779,8671.358341457053
cma,bbob_f002_i76_d10,2,10,76,0,pass,112492.43524382732,607891.7859252696,112492.43524382732,108026.18783858774,108026.18783858774,25334.32147760735
cma,bbob_f002_i76_d10,2,10,76,0,contract,112492.43524382732,525672.7605833249,112492.43524382732,108026.18783858774,64405.806385048454,29256.28210443415
